,Degree,Betweenness,Eigenvector,Khối chủ đề
COMM-PARENT-PRESSURE,0.5507,0.0023,0.0399,05_COMMUNICATION_PARTICIPATION
CHAL-LEAD-SUPPORT,0.5761,0.0046,0.0399,08_CHALLENGES
PART-IMPLEMENT,0.558,0.0026,0.0394,05_COMMUNICATION_PARTICIPATION
QCULT-B-FORMAL,0.5362,0.0021,0.0386,06_QCULT_IDENTIFICATION
CHAL-PARENT-EXPECT,0.5435,0.0018,0.0386,08_CHALLENGES
SOL-COLLAB-CROSS,0.5362,0.0031,0.0384,10_SOLUTIONS
CHAL-PD,0.5688,0.0055,0.0383,08_CHALLENGES
OUT-CULTURE-SAT,0.5254,0.0032,0.0383,07_RELATED_OUTCOMES
CTX-INTEGRATED,0.5145,0.0025,0.0381,00_CONTEXT
COMM-PARENT-RESPOND,0.5217,0.0035,0.038,05_COMMUNICATION_PARTICIPATION
CAUSE-CURRICULUM,0.4638,0.0007,0.0378,09_CAUSES
TRUST-PROTECTION,0.5362,0.0036,0.0377,03_COLLECTIVE
VALUE-COLLECTIVE,0.5181,0.0031,0.0371,03_COLLECTIVE
CHAL-LEAD-UNCLEAR,0.5399,0.0029,0.0367,08_CHALLENGES
TRUST-LEVEL-LOW,0.5145,0.0023,0.0361,03_COLLECTIVE
CHAL-QA-PROC,0.4855,0.0023,0.036,08_CHALLENGES
LEAD-MOTIVATION,0.4964,0.0028,0.036,04_LEADERSHIP
SOL-PD-PLAN,0.5072,0.0024,0.0358,10_SOLUTIONS
CHAL-EVAL,0.5362,0.0039,0.0354,08_CHALLENGES
SOL-QA-PROC,0.4746,0.0012,0.0351,10_SOLUTIONS
LEAD-CONTROL,0.471,0.0013,0.0349,04_LEADERSHIP
SOL-SHARED-VALUE,0.4891,0.0043,0.0347,10_SOLUTIONS
CHAL-HR-COMPENSATION,0.4746,0.0019,0.0345,08_CHALLENGES
SOL-LEAD-LEVEL,0.4638,0.0019,0.0342,10_SOLUTIONS
AGENCY,0.442,0.0015,0.033,02_INDIVIDUAL
CHAL-SPACE,0.4601,0.0017,0.0324,08_CHALLENGES
CHAL-LEAD-TURNOVER,0.5036,0.0043,0.0321,08_CHALLENGES
SOL-CURR-ALIGN,0.4855,0.0026,0.0316,10_SOLUTIONS
