code,n_seg,n_src,n_sch,sheet
TRUST-SCHOOL,4,4,2,03_COLLECTIVE
SOL-TEAM-COLLAB,4,4,4,10_SOLUTIONS
QA-SELF-EVAL,4,4,3,01_STRUCTURAL
CHAL-RESOURCE,4,4,1,08_CHALLENGES
QA-GOAL-UPDATE,4,4,4,01_STRUCTURAL
QVAL-BINDING-GOAL,4,4,3,06_QCULT_IDENTIFICATION
QCULT-SHARED-EFFORT,4,4,1,06_QCULT_IDENTIFICATION
QCULT-ACTION,4,4,3,06_QCULT_IDENTIFICATION
CHAL-SERVICE,4,4,4,08_CHALLENGES
QVAL-CONSTRUCTIVE,4,4,2,06_QCULT_IDENTIFICATION
QVAL-LEARNING,4,4,3,06_QCULT_IDENTIFICATION
SOL-STABILITY,4,4,3,10_SOLUTIONS
OUT-LONGTERM,4,4,2,07_RELATED_OUTCOMES
COLLAB-TRUST,4,4,4,05_COMMUNICATION_PARTICIPATION
SOL-QA-GOAL,4,4,3,10_SOLUTIONS
QCULT-SHARED-OWNERSHIP,4,4,3,06_QCULT_IDENTIFICATION
QA-HANDBOOK,3,3,3,01_STRUCTURAL
VALUE-MISSION,3,3,1,03_COLLECTIVE
SOL-PD-EXCHANGE,3,3,2,10_SOLUTIONS
REFLECT,3,3,3,02_INDIVIDUAL
SOL-QA-TRANSPARENT,3,3,2,10_SOLUTIONS
SOL-CONSTRUCTIVE,3,3,2,10_SOLUTIONS
SOL-COMM-PARENT,3,3,3,10_SOLUTIONS
RESP-ROLE,3,3,2,02_INDIVIDUAL
SOL-COMM-OPEN,3,3,2,10_SOLUTIONS
SOL-HR-RETAIN,3,3,2,10_SOLUTIONS
SOL-HR-LOAD,3,3,2,10_SOLUTIONS
SOL-LEAD-FEEDBACK,3,3,3,10_SOLUTIONS
QVAL-TQM,3,3,2,06_QCULT_IDENTIFICATION
QVAL-DIVERSITY,3,3,3,06_QCULT_IDENTIFICATION
QVAL-EXCHANGE,3,3,3,06_QCULT_IDENTIFICATION
COMM-INFORMAL,3,3,1,05_COMMUNICATION_PARTICIPATION
PART-DECISION,3,3,2,05_COMMUNICATION_PARTICIPATION
OUT-STRESS,3,3,2,07_RELATED_OUTCOMES
CHAL-COMM-LISTEN,3,3,2,08_CHALLENGES
CHAL-CONFLICT,3,3,1,08_CHALLENGES
CHAL-COMM-ONEWAY,3,3,2,08_CHALLENGES
OUT-COMMIT-ACTION,3,3,2,07_RELATED_OUTCOMES
CHAL-TIME,3,3,3,08_CHALLENGES
LEAD-INSPIRATION,3,3,3,04_LEADERSHIP
CHAL-TRAINING,3,3,3,08_CHALLENGES
CHAL-TOOL,3,3,1,08_CHALLENGES
GOV-POLICY-PRACTICE,3,3,2,04_LEADERSHIP
SOL-ENABLING-CONDITIONS,3,3,2,10_SOLUTIONS
CHAL-PARENT-COMM,3,3,2,08_CHALLENGES
CHAL-SHARED-VALUE,3,3,2,08_CHALLENGES
QA-PERSONNEL,3,3,2,01_STRUCTURAL
QCULT-STAFF-ENGAGE,3,3,2,06_QCULT_IDENTIFICATION
TRUST-MIDDLE,2,2,2,03_COLLECTIVE
VALUE-VISION,2,2,2,03_COLLECTIVE
SOL-TEACH-METHOD,2,2,2,10_SOLUTIONS
SOL-COMM-FEEDBACK,2,2,1,10_SOLUTIONS
SOL-LEAD-EMPOWER,2,2,2,10_SOLUTIONS
SOL-TEAM-PLAN,2,2,1,10_SOLUTIONS
SOL-QA-IMPROVE,2,2,2,10_SOLUTIONS
COMM-CONFLICT,2,2,2,05_COMMUNICATION_PARTICIPATION
LEAD-EXPECT-REGULAR,2,2,2,04_LEADERSHIP
COMM-PARENT,2,2,1,05_COMMUNICATION_PARTICIPATION
CHAL-SYSTEM,2,2,2,08_CHALLENGES
OUT-RECOG-SAT,2,2,2,07_RELATED_OUTCOMES
LEAD-STABILITY,2,2,1,04_LEADERSHIP
